frameIndex,EnergyFlow,Volume,PathCurvature,CoMHeight,PosturalSway,SwayRaw,LeftAngularIntensity,RightAngularIntensity,SyncCorrelation,TransitionTorque,Jerk
10,14.716152965418246,0.043601916943886515,5.250649182915012,0.8640701079368588,0.07107423773899758,0.08055202440954143,20.41033339090351,4.315602985282218,0.5242969504371798,30.107049522070923,390464.28977298486
11,14.474103377387188,0.04103171114240438,4.711260797416991,0.8629264429211615,0.07213703702502003,0.08322044661713418,20.741685006785488,5.149742234375365,0.5161467078131635,28.88718199261338,387690.2131097537
12,13.801102307572494,0.039350657513968594,4.027295302625448,0.8628782954812049,0.07330079761553049,0.07996124326679173,17.849356486145357,5.25041278767013,0.500567696748067,28.571718863856823,361489.2559287436
13,13.21872274056122,0.038132889620869984,7.282281083181502,0.8666941061615943,0.07458594087668148,0.07495817729072905,11.00338680132199,4.8195104686433154,0.46546610137583255,28.332934719477436,347409.7514186175
14,12.711601697461925,0.034967117996491846,6.244100032391421,0.8757194897532462,0.076070250224768,0.07256689020704392,9.010131070090821,5.324460689811826,0.41005781767804167,28.169897128729332,344751.9430910057
15,12.546752411478177,0.03434242215566677,7.0088750317432655,0.8819248288869855,0.07792677467059544,0.07326493546490495,6.30385795245382,9.143464238292633,0.17660751898988208,27.82750868818052,336775.19278029003
16,12.336028024033949,0.039865738771692194,8.962172694910358,0.8870997849106785,0.07961588636708536,0.07698922153406446,7.623644682538691,7.718433229447417,0.07880461244162286,27.975980415988197,337244.3259956535
17,12.264747322383926,0.04878859090320673,7.161878007550905,0.892073339819908,0.08083080832725913,0.08431880074395315,7.067385209071236,5.357309756437211,0.029447836591311508,27.83386011200544,341098.1182629738
18,12.490158263587311,0.05503404353743846,6.394842767493525,0.8951653736829754,0.0815923581378951,0.0884216821184887,8.078679974868109,5.935645701482177,-0.051173333885978174,28.02619463805885,321599.8776068563
19,12.723873690514086,0.06027410655733325,6.7777602105534624,0.8955026245117186,0.08219187107720874,0.09206927670763584,7.863205191744178,5.089523215497204,-0.1051723265579771,27.861625307931973,324008.39444467076
20,12.770563928926451,0.0630192871441206,7.884591836306704,0.887990899980068,0.08309289632811657,0.09019138365891163,7.714464424230004,4.126289052127245,-0.2074350175418314,28.098868429855322,308592.36407729593
21,12.760137068967603,0.0649056636613064,5.477803973734242,0.8747549784183498,0.08381648921552676,0.08989783955978722,6.8495784473938475,5.695596771037136,-0.2401318278921936,28.173105469830745,296058.31321433076
22,13.017659462559047,0.066329692802063,4.732770949416211,0.8561157780885695,0.08438803980228625,0.09403045429026852,7.421694923381088,8.160737075424942,-0.3475874215281291,28.304413296951576,314705.47678911063
23,13.40732916582361,0.06842781532840013,7.430819199555941,0.8417527943849561,0.0849361483875068,0.10068663833221866,8.71930551685525,5.87456450131255,-0.3580202741867209,28.41027575168356,303511.6317878901
24,13.62759456264985,0.06908105714310611,8.4524836108904,0.8293634074926376,0.08508830736884809,0.10536991260663862,6.820330366475487,4.179905681732231,-0.29559271672768433,27.85392925059109,321176.53944836353
25,13.5827796718241,0.06926659981905339,6.455348512401497,0.8131676203012463,0.08450939761380911,0.10574301260435189,6.792344322360409,6.198254260750156,-0.33626167609350166,28.011495265422948,332224.23251637217
26,13.00344844289698,0.06942313569042495,6.891493143820089,0.7921840709447859,0.08329800726286068,0.10990277476338832,7.2789264994898355,5.20515406831152,-0.3890331259803101,29.35048928038602,340508.42796565575
